Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
Ave,B2C Digital/Apps,5,11,11,0,Keith Harwood,Logan Herzog,Jay DeCoons,Tim Kish,Mark Dixon,Thomas Jensen,David Hemler,Will Alverson,Brett Belock,Jim Hunt,Steve Asiala
BeautyAround,B2C Digital/Apps,6,11,11,0,Keith Harwood,Maryann Wolff,Kristin Marcuccilli,Ryan Kreager,Eric Kullberg,Tom Wilkas,Nitesh Gudapati,David Brenner,Gordon Geraci,Jim Hunt,Steve Asiala
Byond,B2C Digital/Apps,7,11,11,0,Keith Harwood,Maryann Wolff,Ryan Kreager,Jay DeCoons,Chris Orenchuk,William O'Brien,Peter Flood,Joe Shonkwiler,Gordon Geraci,Brett Belock,Steve Asiala
C I V I T A S   ,B2C Digital/Apps,8,11,11,0,Keith Harwood,Scott Voulgaris,Jay DeCoons,Tim O'Neill,Peter Flood,Craig Anderson,Colin Keeler,John Gleason,Paul Miller,Jim Hunt,Steve Asiala
clearspace,B2C Digital/Apps,9,11,11,0,Keith Harwood,Manish Shah,Tim O'Neill,Aaron Wallace,Craig Anderson,William O'Brien,BIll Rossiter,Colin Keeler,Alyssa Jank,Evan Doney,Steve Asiala
Cobolic,B2C Digital/Apps,10,11,11,0,Maryann Wolff,Scott Berg,Aaron Wallace,Tim O'Neill,BIll Rossiter,Nick Schappler,Pat Sigmon,Joe Shonkwiler,Craig Chval,Jim Hunt,Steve Asiala
coffee + good,B2C Digital/Apps,11,11,11,0,German Estrada,Maryann Wolff,Eric Meyers,Gary Sobolewski,Craig Anderson,Eric Kullberg,Shelley Simon,William O'Brien,Patrick Farran,Brett Belock,Steve Asiala
Comma,B2C Digital/Apps,12,11,11,0,German Estrada,Tom Keuten,Ryan Kreager,Mike Scrudato,Joe Shonkwiler,Justin Hintz,Eric Kullberg,Tom Wilkas,Alyssa Jank,Brett Belock,Steve Asiala
CutCapture,B2C Digital/Apps,13,11,11,0,Johnny Whichard,Scott Berg,Tim Connors,Jay DeCoons,BIll Rossiter,Rahul Miglani,Peter Flood,David Brenner,Mike Ferrigno,Ryan Mitchell,Tyler Hudson-Crimi
EYIT Startup Financing Initiative (ESFI),B2C Digital/Apps,14,11,11,0,Scott Voulgaris,Manish Shah,Tim Connors,Tim O'Neill,Pat Sigmon,Rita Zinn,Eric Kullberg,David Brenner,Philip McBride,Dominic Go,Tyler Hudson-Crimi
Finbud,B2C Digital/Apps,15,11,11,0,Logan Herzog,Maryann Wolff,Ryan Kreager,Jane Hennessy,Rita Zinn,Tony Nguyen,Thomas Jensen,David Brenner,Jay Breeden,Dominic Go,Tyler Hudson-Crimi
